Cash and cash equivalents,Cash and cash equivalents,Cash and cash equivalents
Accounts Receivable (A/R),Accounts receivable (A/R),Accounts Receivable (A/R)
Allowance for bad debt,Current assets,Allowance for bad debts
Available for sale assets (short-term),Current assets,Assets available for sale
Inventory,Current assets,Inventory
Inventory Asset,Current assets,Inventory
Prepaid expenses,Current assets,Prepaid Expenses
Uncategorised Asset,Current assets,Other current assets
"Accumulated depreciation on property, plant and equipment",Fixed assets,"Accumulated depreciation on property, plant and equipment"
"Property, plant and equipment",Fixed assets,Land
Assets held for sale,Non-current assets,Assets held for sale
Deferred tax assets,Non-current assets,Deferred tax
Goodwill,Non-current assets,Goodwill
Intangibles,Non-current assets,Intangible Assets
Long-Term Investments,Non-current assets,Long-term investments
Accounts Payable (A/P),Accounts payable (A/P),Accounts Payable (A/P)
Accrued liabilities,Current liabilities,Accrued liabilities
Dividends payable,Current liabilities,Dividends payable
Income tax payable,Current liabilities,Income tax payable
Payroll Clearing,Current liabilities,Payroll Clearing
Payroll liabilities,Current liabilities,Current Tax Liability
Short-term debit,Current liabilities,Other current liabilities
VAT Payable,Current liabilities,Sales and service tax payable
VAT Suspense,Current liabilities,Tax Suspense
Accrued holiday payable,Non-current liabilities,Accrued holiday payable
Accrued non-current liabilities,Non-current liabilities,Accrued non-current liabilities
Liabilities related to assets held for sale,Non-current liabilities,Liabilities related to assets held for sale
Long-term debt,Non-current liabilities,Long-term debt
Dividend disbursed,Owner's equity,Dividend disbursed
Equity in earnings of subsidiaries,Owner's equity,Equity in earnings of subsidiaries
Opening Balance Equity,Owner's equity,Opening Balance Equity
Other comprehensive income,Owner's equity,Other comprehensive income
Retained Earnings,Owner's equity,Retained Earnings
Share capital,Owner's equity,Share capital
Billable Expense Income,Income,Sales of Product Income
Discounts given,Income,Discounts/Refunds Given
Revenue - General,Income,Revenue - General
Sales,Income,Sales of Product Income
Sales - retail,Income,Sales - retail
Sales - wholesale,Income,Sales - wholesale
Sales of Product Income,Income,Sales of Product Income
Uncategorised Income,Income,Sales of Product Income
Change in inventory - COS,Cost of sales,Cost of Sales
Cost of sales,Cost of sales,Supplies and materials - COS
Direct labour - COS,Cost of sales,Cost of Sales
Discounts given - COS,Cost of sales,Cost of Sales
Freight and delivery - COS,Cost of sales,"Shipping, Freight and Delivery - COS"
Materials - COS,Cost of sales,Cost of Sales
Other - COS,Cost of sales,Cost of Sales
Overhead - COS,Cost of sales,Cost of Sales
Subcontractors - COS,Cost of sales,Cost of Sales
Amortisation expense,Expenses,Amortisation expense
Bad debts,Expenses,Bad debts
Bank charges,Expenses,Bank charges
Commissions and fees,Expenses,Commissions and fees
Dues and subscriptions,Expenses,Dues and Subscriptions
Equipment rental,Expenses,Equipment rental
Income tax expense,Expenses,Income tax expense
Insurance - Disability,Expenses,Insurance
Insurance - General,Expenses,Insurance
Insurance - Liability,Expenses,Insurance
Interest expense,Expenses,Interest paid
Legal and professional fees,Expenses,Legal and professional fees
"Loss on discontinued operations, net of tax",Expenses,"Loss on discontinued operations, net of tax"
Management compensation,Expenses,Management compensation
Meals and entertainment,Expenses,Meals and entertainment
Office expenses,Expenses,Office/General Administrative Expenses
Other general and administrative expenses,Expenses,Office/General Administrative Expenses
Other selling expenses,Expenses,Other selling expenses
Other Types of Expenses-Advertising Expenses,Expenses,Advertising/Promotional
Payroll Expenses,Expenses,Office/General Administrative Expenses
Purchases,Expenses,Supplies and materials
Rent or lease payments,Expenses,Rent or Lease of Buildings
Repairs and Maintenance,Expenses,Repair and maintenance
Shipping and delivery expense,Expenses,Shipping and delivery expense
Stationery and printing,Expenses,Office/General Administrative Expenses
Supplies,Expenses,Supplies and materials
Travel expenses - general and admin expenses,Expenses,Travel expenses - general and admin expenses
Travel expenses - selling expenses,Expenses,Travel expenses - selling expense
Unapplied Cash Bill Payment Expense,Expenses,Unapplied Cash Bill Payment Expense
Uncategorised Expense,Expenses,Other Miscellaneous Service Cost
Utilities,Expenses,Utilities
VAT Expense,Expenses,Tax expense
Wage expenses,Expenses,Payroll Expenses
Dividend income,Other income,Dividend income
Interest income,Other income,Interest earned
Loss on disposal of assets,Other income,Loss on disposal of assets
Other operating income (expenses),Other income,Other operating income
"Unrealised loss on securities, net of tax",Other income,"Unrealised loss on securities, net of tax"
Other Expense,Other expense,Other Expense
