reference,description,cost,units
71T5590B,บานพับทับขอบ ถ้วยแบบ INSERTA เปิด 120องศา หน้าบานหนา 6หุน,85.00,ตัว
71T9790B,บานพับในขอบ ถ้วยแบบ INSERTA เปิด 100องศา หน้าบานหนา 1นิ้ว,112.00,ตัว
71T7500B,บานพับทับขอบ ถ้วยแบบ SCREW-ON เปิด 155องศา หน้าบานหนา 6หุน,235.00,ตัว
955.1004,ตัวกดกระเด้งใช้กับพับ แบบเจาะฝัง (Ø 10มม. เจาะลึก 50มม.) ใช้ได้กับบานพับไม่มีสปริงเท่านั้น,229.00,ชุด
70M2550.TL,บานพับทับขอบ ถ้วยแบบ SCREW-ON ไม่มีสปริง เปิด 100องศา (ใช้กับตัวกดกระเด้ง),52.00,ตัว
177H5100,ตัวหนุนขาพับแบบตรง มีปุ๊ก Ø 10มม. และสกรู สามารถปรับได้ ขนาด 0มม.,31.00,ตัว
70.1503,ฝาปิดขาบานพับ ทำด้วยโลหะสีเงิน ใช้กับบานพับรุ่น CLIP top ,4.75,ตัว
70T1504,ฝาครอบถ้วยบานพับ ทำด้วยโลหะสีเงิน ใช้กับบานพับรุ่น CLIP top ,6.75,ตัว
80.6507,ฝาปิดขาบานพับ ทำด้วยโลหะสีเงิน ใช้กับบานพับฯ 155/170องศา,4.25,ตัว
560H4000B,รางฯสองตอน ยาว 40ซม/16นิ้ว          (ซ้าย/ขวา) มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,"1,091.00",ชุด
560H4500B,รางฯสองตอน ยาว 45ซม/18นิ้ว          (ซ้าย/ขวา) มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,"1,101.00",ชุด
560H4500C,รางฯสองตอน ยาว 45ซม/18นิ้ว          (ซ้าย/ขวา) ไม่มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,781.00,ชุด
T55.7151L/R,TIP-ON อุปกรณ์กดกระเด้ง ด้ายซ้าย/ขวาใช้กับราง 550Hxxxxc เท่านั้น                              2x199 =,398.00,คู่
T51.1700.04L/R,ตัวล็อกกล่องลิ้นชักสีส้ม ด้านซ้าย/ขวา                                                                                   2x36 =,72.00,คู่
993.0830.01,ปุ่มเว้นระยะติดหน้าบาน Ø 8มม,29.00,อัน
Z10A3000.01,ตัดกดกระเด้งใช้ไฟฟ้า,"3,190.00",อัน
Z10D01EA,ตัวยึดแผ่นอะลูมิเนี้ยยึดหลังตู้/พื้นตู้ พร้อมฝาปิด,199.00,ชุด
Z10T770AA,แผ่นอลูมิเนียมใช้ติดตัวกดกระเด้งยาว 77ซม พร้อมสายไฟ (ตัดได้),"1,669.00",อัน
Z10K1HMA,สายไฟสีดำ (ยาวม้วนละ 100ม),129.00,ม.
Z10M200E,ปลั๊กไฟ 2ขา พร้อมสายไฟยาว 20ซม,299.00,อัน
