reference,description,cost,units
             35-40ซม,                                  20L3501                                                                          4.25-9.00กก,8.00-14.75กก,
             45-58ซม,                                  20L3901                                                                          2.00-5.25กก,4.25-9.25กก,
NECT33C,"ชุดตระแกรงเข้ามุมสีโครเมี่ยม ""Easy Conner"" ใช้กับตู้เข้ามุม ""L"" กว้าง 90ซม. (หน้าบานตู้ 45ซม)",20160.00,ชุด
*VRVR4403064,"อุปกรณ์ยกหน้าบานตรงรุ่น ""VELA440"" นน.ของหน้าบาน 4.50-6.50กก.",8960.00,ชุด
*VR0R5403064,"อุปกรณ์ยกหน้าบานตรงรุ่น ""VELA540"" นน.ของหน้าบาน 5.50-8.00กก.",8960.00,ชุด
PEXXX450064,"อุปกรณ์บานเปิดเลื่อนรุ่น ""PEGASO"" รับนน. 20กก ใช้กับตู้กว้าง 45ซม",7500.00,ชุด
PEXXX600064,"อุปกรณ์บานเปิดเลื่อนรุ่น ""PEGASO"" รับนน. 20กก ใช้กับตู้กว้าง 60ซม",95...00,ชุด
S3100012543/A,อุปกรณ์บานเลื่อนพร้อมรางในตัวหน้าบานปิดเรียบเสมอกัน ตู้กว้าง 3.00ม 3หน้าบาน (รางยาว 2948มม),57500,ชุด
S2060012543/A,อุปกรณ์บานเลื่อนพร้อมรางในตัวหน้าบานปิดเรียบเสมอกัน ตู้กว้าง 1.20ม 2หน้าบาน (รางยาว 1150มม),34000,ชุด
560H4500B,รางฯสองตอน ยาว 45ซม/18นิ้ว          (ซ้าย/ขวา) มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,1101.00,ชุด
Z10T770AA,แผ่นอลูมิเนียมใช้ติดตัวกดกระเด้งยาว 77ซม พร้อมสายไฟ (ตัดได้),1669.00,อัน
65.501,อุปกรณ์ทาบเจาะรูปุ่มกันชนหน้าบาน รุ่น 970A1002,1000.00,อัน
270E4500.02,รางเลื่อนแบบซ่อนเก็บหน้าบานได้ ด้านซ้าย ยาว 45ซม./18นิ้ว,1145.00,ข้าง
270E5000.02,รางเลื่อนแบบซ่อนเก็บหน้าบานได้ ด้านซ้าย ยาว 50ซม./20นิ้ว,1150.00,ข้าง
270E5500.02,รางเลื่อนแบบซ่อนเก็บหน้าบานได้ ด้านซ้าย ยาว 55ซม./22นิ้ว,1155.00,ข้าง
270E6000.02,รางเลื่อนแบบซ่อนเก็บหน้าบานได้ ด้านซ้าย ยาว 60ซม./24นิ้ว,1160.00,ข้าง
560H2700B,รางฯสองตอน ยาว 27ซม/10.50นิ้ว     (ซ้าย/ขวา) มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,1071.00,ชุด
560H3500B,รางฯสองตอน ยาว 35ซม/14นิ้ว          (ซ้าย/ขวา) มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,1071.00,ชุด
560H4500B,รางฯสองตอน ยาว 45ซม/18นิ้ว          (ซ้าย/ขวา) มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,1101.00,ชุด
566H4500B,รางฯสองตอน ยาว 45ซม/18นิ้ว          (ซ้าย/ขวา) มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,1641.00,ชุด
*557.4501AL/R,รางลิ้นชักสองตอน ยาว 45ซม/80กก. ไม่มี BLUEMOTION ด้านซ้าย/ขวา (สินค้าสั่งพิเศษ)         (MIN.6ชุด),1575.00,ชุด
Z33M00E0A6,"อุปกรณ์ลิ้นชักเข้ามุม ""ลิ้นชักเตี้ย""",1960.00,ชุด
DYA.2441,"แผ่นซีดีโปรแกรม DYNALOG ""ราคาพิเศษ""",3250.00,--
*357M4502I,ข้างลิ้นชักสแตนเลสยาว 45ซม/80กก. ด้านซ้าย/ขวา พร้อมฝาปิด (สินค้าสั่งพิเศษ)                   (MIN.6ชุด),3050.00,ชุด
358M4502I,ข้างลิ้นชักสแตนเลสยาว 45ซม/30-50กก. ด้านซ้าย/ขวา พร้อมฝาปิด (สินค้าสั่งพิเศษ)       (MIN.6ชุด),1249.00,ชุด
358M5002IFL/R,ข้างลิ้นชักสแตนเลสรุ่น F-version ยาว 50ซม/30-50กก.                 ซ้าย/ขวา                 2อัน   x     590.00,1180.00,คู่
Z31A1081A.NI,หน้าลิ้นชักทำด้วยอลูมิเนียมสีโครเมี่ยมยาว 1081มม. ตัดได้,1500.00,อัน
Z37H468I.E,"แผ่นปิดข้างลิ้นชัก ""double BOXSIDE"" ทำด้วยสแตนเลส                                  ",1460.00,ชุด
ZFI.30BZI6N,ชุดที่เก็บขวดสแตนเลส สำหรับตู้กว้าง 30ซม.,6359.00,ชุด
Z40H877I.R,แผ่นกั้นแบ่งช่องตามขวาง ทำด้วยสแตนเลส ใช้กับตู้กว้าง 1.00ม.,1000.00,อัน
Z46C470S.E2,แผ่นกั้นในลิ้นชักทำด้วยเหล็กเคลือบอิพ๊อกซี่สีเทา                             ,1350.00,อัน
*Z37H468A.E.,"แผ่นปิดข้างลิ้นชัก ""double BOXSIDE"" ทำด้วยอลูมิเนียม",1355.00,ชุด
ZSI.500FI3,ที่แบ่งช่องในลิ้นชักทำด้วยสแตนเลสใช้วางเครื่องครัวขนาด 37.70 x 47.40ซม,1850.00,อัน
ZSI.500KI2N,ถาดใส่ช้อนส้อมสแตนเลสขนาด 20.00 x 47.40ซม,2190.00,อัน
ZTH.0350,ที่เก็บจาน,2375.00,อัน
ZFZ.45G0I,ที่เก็บเครื่องปรุง ใช้กับตู้กว้าง 45ซม,1129.00,อัน
Z10A3000.01,ตัดกดกระเด้งใช้ไฟฟ้า,3190.00,อัน
20F2501,อุปกรณ์บานยกหน้าบาน [ดำ Power Factor = 5350 - 10600 ใช้ 2 อัน],1090.00,อัน
20S2B01,อุปกรณ์ยกหน้าบาน ใช้กับตู้สูง 35.00-52.50ซม น้ำหนักบาน 3.52-9.50กก,1069.00,อัน
20S2H01,อุปกรณ์ยกหน้าบาน ใช้กับตู้สูง 67.60-80.00ซม น้ำหนักบาน 6.00-13.50กก,1179.00,อัน
20L2701,อุปกรณ์ยกหน้าบาน,1249.00,อัน
             35-40ซม,                                  20L3501                                                                          4.25-9.00กก,8.00-14.75กก,
             45-58ซม,                                  20L3901                                                                          2.00-5.25กก,4.25-9.25กก,
NECT33C,"ชุดตระแกรงเข้ามุมสีโครเมี่ยม ""Easy Conner"" ใช้กับตู้เข้ามุม ""L"" กว้าง 90ซม. (หน้าบานตู้ 45ซม)",20160.00,ชุด
*VRVR4403064,"อุปกรณ์ยกหน้าบานตรงรุ่น ""VELA440"" นน.ของหน้าบาน 4.50-6.50กก.",8960.00,ชุด
*VR0R5403064,"อุปกรณ์ยกหน้าบานตรงรุ่น ""VELA540"" นน.ของหน้าบาน 5.50-8.00กก.",8960.00,ชุด
PEXXX450064,"อุปกรณ์บานเปิดเลื่อนรุ่น ""PEGASO"" รับนน. 20กก ใช้กับตู้กว้าง 45ซม",7500.00,ชุด
PEXXX600064,"อุปกรณ์บานเปิดเลื่อนรุ่น ""PEGASO"" รับนน. 20กก ใช้กับตู้กว้าง 60ซม",95...00,ชุด
S3100012543/A,อุปกรณ์บานเลื่อนพร้อมรางในตัวหน้าบานปิดเรียบเสมอกัน ตู้กว้าง 3.00ม 3หน้าบาน (รางยาว 2948มม),57500,ชุด
S2060012543/A,อุปกรณ์บานเลื่อนพร้อมรางในตัวหน้าบานปิดเรียบเสมอกัน ตู้กว้าง 1.20ม 2หน้าบาน (รางยาว 1150มม),34000,ชุด
